##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Malaria	KEGG PATHWAY	mmu05144	7	53	5.16076138837e-06	0.00139488007811	ENSMUSG00000030830|ENSMUSG00000073940|ENSMUSG00000069917|ENSMUSG00000069919|ENSMUSG00000052305|ENSMUSG00000026580|ENSMUSG00000037872	http://www.genome.jp/kegg-bin/show_pathway?mmu05144/mmu:100503605%09red/mmu:16408%09red/mmu:20344%09red/mmu:13349%09red/mmu:110257%09red/mmu:15122%09red/mmu:101488143%09red
African trypanosomiasis	KEGG PATHWAY	mmu05143	5	36	9.69258689822e-05	0.014106441855	ENSMUSG00000069919|ENSMUSG00000052305|ENSMUSG00000024778|ENSMUSG00000069917|ENSMUSG00000073940	http://www.genome.jp/kegg-bin/show_pathway?mmu05143/mmu:110257%09red/mmu:15122%09red/mmu:100503605%09red/mmu:101488143%09red/mmu:14102%09red
Hepatitis C	KEGG PATHWAY	mmu05160	6	161	0.0121606027063	0.278005674292	ENSMUSG00000041378|ENSMUSG00000018983|ENSMUSG00000032690|ENSMUSG00000032193|ENSMUSG00000018569|ENSMUSG00000024778	http://www.genome.jp/kegg-bin/show_pathway?mmu05160/mmu:53624%09red/mmu:16835%09red/mmu:242705%09red/mmu:246728%09red/mmu:12741%09red/mmu:14102%09red
Leukocyte transendothelial migration	KEGG PATHWAY	mmu04670	5	116	0.0123724837587	0.278675467516	ENSMUSG00000009621|ENSMUSG00000041378|ENSMUSG00000030830|ENSMUSG00000018569|ENSMUSG00000071715	http://www.genome.jp/kegg-bin/show_pathway?mmu04670/mmu:22325%09red/mmu:17972%09red/mmu:53624%09red/mmu:12741%09red/mmu:16408%09red
Osteoclast differentiation	KEGG PATHWAY	mmu04380	5	126	0.016924327258	0.325695555345	ENSMUSG00000002948|ENSMUSG00000029135|ENSMUSG00000004508|ENSMUSG00000026072|ENSMUSG00000071715	http://www.genome.jp/kegg-bin/show_pathway?mmu04380/mmu:26400%09red/mmu:17972%09red/mmu:14284%09red/mmu:16177%09red/mmu:14389%09red
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	KEGG PATHWAY	mmu00532	2	20	0.0254727267708	0.353198421187	ENSMUSG00000038181|ENSMUSG00000034612	http://www.genome.jp/kegg-bin/show_pathway?mmu00532/mmu:100910%09red/mmu:58250%09red
Lysine degradation	KEGG PATHWAY	mmu00310	3	58	0.0320229762355	0.353198421187	ENSMUSG00000071350|ENSMUSG00000056770|ENSMUSG00000006307	http://www.genome.jp/kegg-bin/show_pathway?mmu00310/mmu:239122%09red/mmu:52690%09red/mmu:75410%09red
Cell adhesion molecules (CAMs)	KEGG PATHWAY	mmu04514	5	162	0.0419795581901	0.353198421187	ENSMUSG00000041378|ENSMUSG00000030830|ENSMUSG00000018569|ENSMUSG00000022901|ENSMUSG00000026580	http://www.genome.jp/kegg-bin/show_pathway?mmu04514/mmu:20344%09red/mmu:12524%09red/mmu:12741%09red/mmu:53624%09red/mmu:16408%09red
Fc epsilon RI signaling pathway	KEGG PATHWAY	mmu04664	3	67	0.0452620004972	0.353198421187	ENSMUSG00000002948|ENSMUSG00000004508|ENSMUSG00000009621	http://www.genome.jp/kegg-bin/show_pathway?mmu04664/mmu:26400%09red/mmu:22325%09red/mmu:14389%09red
Bile secretion	KEGG PATHWAY	mmu04976	3	72	0.0536138561749	0.353198421187	ENSMUSG00000032193|ENSMUSG00000032204|ENSMUSG00000037583	http://www.genome.jp/kegg-bin/show_pathway?mmu04976/mmu:64008%09red/mmu:16835%09red/mmu:23957%09red
