Geneid	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	0	0	0	0	0	0	0	0
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	0	0	0	0	0	0	0	0
ENSMUSG00000104017.1	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	1	0	0	0	0	0	0	2
ENSMUSG00000103161.1	0	0	0	0	0	0	0	0
ENSMUSG00000102331.1	0	0	0	0	0	0	0	0
ENSMUSG00000102348.1	0	0	1	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0	0	0	0	0
ENSMUSG00000025900.13	0	0	0	0	0	0	0	0
ENSMUSG00000102948.1	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	0	0	0	0	0	0	0	0
ENSMUSG00000104238.1	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	0	1	2	0	0	0	1	4
ENSMUSG00000096126.1	0	0	0	0	0	0	0	0
ENSMUSG00000103003.1	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	0	0	0	0	0
ENSMUSG00000102735.1	0	0	0	0	0	0	0	0
ENSMUSG00000098104.1	26	35	17	13	10	10	30	43
ENSMUSG00000102175.1	1	0	2	0	2	0	65	1
ENSMUSG00000088000.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	0	0	0	0	0	0	0	0
ENSMUSG00000103922.1	41	19	60	34	84	23	69	101
ENSMUSG00000033845.13	538	419	518	757	1602	390	722	1724
ENSMUSG00000102275.1	0	0	0	0	0	0	3	0
ENSMUSG00000025903.14	17	65	72	38	48	10	27	75
ENSMUSG00000104217.1	0	0	0	0	0	0	0	0
ENSMUSG00000033813.15	129	323	294	174	585	146	261	339
ENSMUSG00000062588.4	45	37	14	19	40	11	38	86
ENSMUSG00000103280.1	0	0	0	0	35	0	0	0
ENSMUSG00000002459.17	0	0	0	0	0	0	0	0
ENSMUSG00000091305.1	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	0	0	0	0	0	0	0	0
ENSMUSG00000085623.1	0	0	0	0	0	0	0	0
ENSMUSG00000091665.1	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	53	401	446	178	386	193	241	699
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	0	0	1	0	0	1	0
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.14	0	0	0	0	0	0	0	0
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	0	0	0	0	0	0	0
ENSMUSG00000103090.1	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	41	222	207	114	348	136	61	231
ENSMUSG00000090031.2	0	1	0	0	119	44	0	40
ENSMUSG00000087247.3	0	0	0	0	0	0	0	0
ENSMUSG00000103355.1	1	0	3	5	3	0	2	6
ENSMUSG00000102706.1	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	0	0	2	1	0	1	0	4
ENSMUSG00000033740.17	0	0	0	0	0	0	0	0
ENSMUSG00000103329.2	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	1	0	2	1	0	0	2
ENSMUSG00000102135.1	11	11	2	6	20	2	14	16
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	0	0	0	0	0	0	0	0
ENSMUSG00000051285.17	75	238	164	75	269	78	106	126
ENSMUSG00000098201.1	4	10	3	1	2	4	3	8
ENSMUSG00000103509.1	0	0	0	0	0	0	0	0
ENSMUSG00000048538.7	28	0	17	15	17	19	31	42
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	61	3	0	0	0	9	46	1
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	0	0	0	0	0	0	0	0
ENSMUSG00000102320.1	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	0	0	0	0	0	0	0	0
ENSMUSG00000103903.1	0	0	0	0	0	0	0	0
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	0	0	0	0	0	0	0	0
ENSMUSG00000102647.1	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	0	0	0	0	0	0	0	0
ENSMUSG00000102253.1	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	41	7	43	22	28	16	34	65
ENSMUSG00000103933.1	25	40	23	17	30	9	42	37
ENSMUSG00000076135.1	0	0	0	0	0	0	0	0
ENSMUSG00000086195.1	2	0	0	0	2	0	1	0
ENSMUSG00000104504.1	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	1	2	5	2	7	0	1	1
ENSMUSG00000102316.1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	0	0	0	0	0	0	0	0
ENSMUSG00000104428.1	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	0	0	0	0	1	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	0	0	0	0	0
ENSMUSG00000061024.8	180	6	663	61	636	182	439	786
ENSMUSG00000025911.14	1	0	0	0	0	0	0	124
ENSMUSG00000079671.8	0	0	0	0	0	0	0	0
ENSMUSG00000081441.3	0	1	1	0	1	0	1	4
ENSMUSG00000067879.3	0	0	0	0	0	0	0	0
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	0	0	0	4	0	3	0	4
ENSMUSG00000045210.8	2	7	392	16	141	180	205	168
ENSMUSG00000097893.8	2	14	14	1	0	5	4	0
ENSMUSG00000025915.14	4	17	192	44	10	67	109	28
ENSMUSG00000046334.4	5	6	0	0	3	1	0	0
ENSMUSG00000088916.1	0	0	0	0	0	0	0	0
ENSMUSG00000046101.16	0	0	31	0	0	0	0	0
ENSMUSG00000098234.7	100	448	396	182	328	134	250	609
