Geneid	all_features_anno	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000102693	NA	0	0	0	0	0	0	0	0
ENSMUSG00000064842	Gm26206	0	0	0	0	0	0	0	0
ENSMUSG00000051951	Xkr4	0	0	0	0	0	0	0	0
ENSMUSG00000102851	Gm18956	0	0	0	0	0	0	0	0
ENSMUSG00000103377	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104017	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103025	NA	0	0	0	0	0	0	0	0
ENSMUSG00000089699	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103201	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103147	Gm7341	1	0	0	0	0	0	0	2
ENSMUSG00000103161	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102331	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102348	NA	0	0	1	0	0	0	0	0
ENSMUSG00000102592	NA	0	0	0	0	0	0	0	0
ENSMUSG00000088333	Gm27396	0	0	0	0	0	0	0	0
ENSMUSG00000102343	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025900	Rp1	0	0	0	0	0	0	0	0
ENSMUSG00000102948	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104123	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025902	Sox17	0	0	0	0	0	0	0	0
ENSMUSG00000104238	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102269	NA	0	1	2	0	0	0	1	4
ENSMUSG00000096126	Gm22307	0	0	0	0	0	0	0	0
ENSMUSG00000103003	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104328	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102735	NA	0	0	0	0	0	0	0	0
ENSMUSG00000098104	NA	26	35	17	13	10	10	30	43
ENSMUSG00000102175	NA	1	0	2	0	2	0	65	1
ENSMUSG00000088000	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103265	Gm2053	0	0	0	0	0	0	0	0
ENSMUSG00000103922	Gm6123	41	19	60	34	84	23	69	101
ENSMUSG00000033845	Mrpl15	538	419	518	757	1602	390	722	1724
ENSMUSG00000102275	NA	0	0	0	0	0	0	3	0
ENSMUSG00000025903	Lypla1	17	65	72	38	48	10	27	75
ENSMUSG00000104217	NA	0	0	0	0	0	0	0	0
ENSMUSG00000033813	Tcea1	129	323	294	174	585	146	261	339
ENSMUSG00000062588	NA	45	37	14	19	40	11	38	86
ENSMUSG00000103280	NA	0	0	0	0	35	0	0	0
ENSMUSG00000002459	Rgs20	0	0	0	0	0	0	0	0
ENSMUSG00000091305	NA	0	0	0	0	0	0	0	0
ENSMUSG00000102653	NA	0	0	0	0	0	0	0	0
ENSMUSG00000085623	Gm16041	0	0	0	0	0	0	0	0
ENSMUSG00000091665	Gm17101	0	0	0	0	0	0	0	0
ENSMUSG00000033793	Atp6v1h	53	401	446	178	386	193	241	699
ENSMUSG00000104352	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104046	NA	0	0	0	1	0	0	1	0
ENSMUSG00000102907	NA	0	0	0	0	0	0	0	0
ENSMUSG00000025905	Oprk1	0	0	0	0	0	0	0	0
ENSMUSG00000103936	NA	0	0	0	0	0	0	0	0
ENSMUSG00000093015	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103519	NA	0	0	0	0	0	0	0	0
ENSMUSG00000033774	Npbwr1	0	0	0	0	0	0	0	0
ENSMUSG00000103090	Gm19214	0	0	0	0	0	0	0	0
ENSMUSG00000025907	Rb1cc1	41	222	207	114	348	136	61	231
ENSMUSG00000090031	NA	0	1	0	0	119	44	0	40
ENSMUSG00000087247	Alkal1	0	0	0	0	0	0	0	0
ENSMUSG00000103355	NA	1	0	3	5	3	0	2	6
ENSMUSG00000102706	NA	0	0	0	0	0	0	0	0
ENSMUSG00000103845	Gm19026	0	0	2	1	0	1	0	4
ENSMUSG00000033740	St18	0	0	0	0	0	0	0	0
ENSMUSG00000103329	NA	0	0	0	0	0	0	0	0
ENSMUSG00000104385	Gm7449	0	1	0	2	1	0	0	2
ENSMUSG00000102135	NA	11	11	2	6	20	2	14	16
