,NC1,NC2,NC3,PUS71,PUS72,PUS73
WASH7P,8.91300834382348,8.83432609423396,8.83825378104804,8.88906504509256,8.88104268001923,8.89308540439708
LOC729737,8.60189255497747,8.47336110304214,8.57340186406634,8.7129496956321,8.74722037582769,8.76985298666329
MIR12136,10.7182240318749,10.889008318376,11.245272719256,11.5585170557879,11.488810585522,11.4421469706908
LOC100288069,8.70705909689412,8.82142355350995,8.77306462917693,8.8157574209713,8.83529390896016,8.85700248575181
LINC00115,4.56592474704473,4.55708423712424,4.57912700822585,4.67065930487489,4.55927495075247,4.56175792398116
LINC01128,8.31849299493963,8.3153819674674,8.30888568537213,8.08208814047361,8.03516572317245,8.15336653717043
LINC02593,6.14500804804965,5.99639877224404,6.00572704996206,6.14810646634781,6.0795356045513,6.1623566374144
LOC107985728,6.63458570818214,6.61600915429248,6.56358347469354,6.71687380580983,6.76146809294747,6.84469234250463
SAMD11,7.8263980258774,7.78104904579437,7.76034809376279,7.55988139549675,7.56885998232942,7.4803933754688
NOC2L,10.7145599743456,10.6998524540952,10.6833652608657,10.5471029270295,10.5542447923727,10.5591741274042
KLHL17,8.00896852915198,7.9328671045248,7.94967393483612,8.27613012833843,8.20224160240533,8.17825901007651
HES4,7.43872701767507,7.3945231634332,7.23988649754562,7.55839302339971,7.43047026724887,7.59198393052635
ISG15,7.49736641315376,7.50537176510735,7.52224197452633,7.72694280339886,7.61613683184412,7.66527110779395
AGRN,10.879215578404,10.8914312589138,10.9260272358132,11.1923047562307,11.1407692092117,11.1537386894714
C1orf159,7.75805010340611,7.70684984752026,7.80034917110344,7.82946198335974,7.79079456057614,7.78625009049214
SDF4,10.4143098756597,10.3757520742137,10.433683472746,10.41429654685,10.3753660352577,10.419416244172
B3GALT6,9.17162261742657,9.18872818160075,9.18038299164594,9.14994378299295,9.20044001119686,9.2187872122417
C1QTNF12,4.58051774294033,4.53713162560043,4.59020236715946,4.66232148290344,4.65690687490055,4.68379672483321
UBE2J2,9.45890397684602,9.3976751653577,9.39240967138452,9.28633674937996,9.24362915976249,9.22288191895236
SCNN1D,6.81087844214985,6.79570092139867,6.74191854848797,6.9284689493002,7.01797414022668,6.94107289375262
ACAP3,7.909114241861,7.92520445655397,8.00728187953614,8.65094875827607,8.60864579433692,8.60308797152538
PUSL1,6.80911825949634,6.81505010988193,6.88557197226289,6.78953357242963,6.80102016623321,6.79763486936255
INTS11,10.4111969428618,10.3930639844913,10.4157398354804,10.3979309972141,10.4023742344481,10.3557096216283
CPTP,7.47348670462323,7.4801753463064,7.48231922572158,7.39345064835661,7.46781359191785,7.37581671326309
DVL1,10.1042003962252,10.109732079996,10.108546426651,10.1902165115527,10.2032724528006,10.1985717286328
MXRA8,10.2538668080174,10.2441553686656,10.2554873961051,10.4358047900832,10.4288607853969,10.4059047810545
AURKAIP1,10.1889278882147,10.1184904271585,10.1685746670858,10.0350277864274,10.0302436392307,9.99961725810338
CCNL2,11.8128956511497,11.7811990964246,11.819365916488,11.8399833520833,11.8128883362286,11.8359690820592
MRPL20-AS1,8.62269675548527,8.5789268537437,8.59138063724562,8.63110394676995,8.5503382850881,8.49913468662136
MRPL20,9.56462137380944,9.51943252187211,9.57471794949203,9.41181760070795,9.30862711957701,9.32401065572001
VWA1,8.22904539690291,8.34466864427647,8.28996184183602,8.45315051713437,8.43372823690202,8.40942390231014
ATAD3B,8.9810561109824,8.87617897831943,9.02754745192879,8.55858246866855,8.50871769733823,8.58223543093756
ATAD3A,9.12811051332461,9.05681325551391,9.178669346328,9.00935809289745,8.96524914629375,8.99361189173596
SSU72,10.9551033427676,10.9429250991513,10.8967028613329,10.5631004141708,10.6086218846378,10.6333968232166
FNDC10,6.91768171744094,6.85707669992367,6.90973327036609,7.0777823686868,7.09541689152473,6.95507473867595
MIB2,8.53431521131148,8.44025680393646,8.49299273857745,8.71166970903695,8.61856511515925,8.65703102410024
CDK11B,9.32080895691318,9.31853855452442,9.34275936068374,9.44542154308275,9.42796857528194,9.51950163534748
SLC35E2B,10.3363732121724,10.3552115574685,10.3656419002916,10.3601956062498,10.3430927971282,10.3770966596523
CDK11A,8.71035174761381,8.67225291699989,8.75001219297775,8.93515040355581,8.925549591043,8.95144109873767
SLC35E2A,8.33943279170581,8.27882945409016,8.29524855334543,8.50431241813196,8.51560557472502,8.5148469415758
NADK,10.2485231689048,10.201825313291,10.2181565530347,10.2092718762067,10.1821981500064,10.2254157830779
GNB1,12.4653280817393,12.4559608781777,12.4622839688918,12.4819460236432,12.4789975577213,12.5223001057937
CALML6,4.9571409607617,4.86263059679593,4.84609208627324,4.79984993127451,4.82720075929043,4.83726890995291
TMEM52,3.82352655402158,3.81966239114315,3.80116075669689,3.8260134700614,3.82297867559389,3.85944229950529
PRKCZ,8.41730414383604,8.47453131500598,8.48558508224253,8.51304711508199,8.53216293493893,8.58315073896962
PRKCZ-AS1,5.23172445194172,5.27478863757369,5.22595959652628,5.11739197886648,5.18370128234373,5.19052530931365
FAAP20,8.8027830896751,8.74910068084055,8.86007027403842,8.92913406788039,8.89388461808097,8.89001493534371
LOC112268219,5.60021351262759,5.59321190439363,5.57789654337435,5.64329446991765,5.72315166082557,5.60395525403381
SKI,10.2106597969078,10.2439818593278,10.1817701389374,10.3064850986976,10.3485546645173,10.3248000497323
MORN1,7.03367543958966,7.07603066755702,7.1448646028094,6.98794219771616,6.94661867428761,7.018528830502
LOC100129534,5.02298114328163,5.02575555081183,5.03745090218106,4.97226853580683,4.96665804182613,4.98451782291745
RER1,9.99766954681511,10.0033419153158,9.98963346952881,9.94766097820732,9.93746168628495,9.96059753115913
PEX10,7.99705457658766,8.00121395830333,8.02907655289096,7.84787442803138,7.83454228926506,7.82231569541902
PANK4,8.64992511668348,8.61835154285364,8.6617553378325,8.96626856243599,8.8953012098631,8.88292860482826
PRXL2B,7.0282908322755,6.94029556755693,7.06374040465771,6.99778689978664,6.95915308988205,6.94090249183403
TPRG1L,7.58387921541481,7.52873820075652,7.59576326774267,7.37255395642359,7.37822657542035,7.37767865480334
WRAP73,8.59480088464338,8.53423677939278,8.51583867151705,8.53055258186918,8.56578110106038,8.55840176580812
TP73-AS1,9.12053446322918,9.10009344496326,9.08577193283054,9.50084356067064,9.53185311410569,9.50340133095246
SMIM1,5.86752415004109,5.80365924606675,5.79965106028025,6.01502289037824,5.98480218775346,5.91282766704
