##mmu	Mus musculus (mouse)
##Method: ID mapping (ensembl_gene_id)
##Summary:	285 succeed, 27 fail

#Query	Gene ID|Gene name|Hyperlink
ENSMUSG00000029408	mmu:56325|Abcb9, TAPL, mKIAA1520|http://www.genome.jp/dbget-bin/www_bget?mmu:56325
ENSMUSG00000037049	mmu:20597|Smpd1, A-SMase, ASM, Zn-SMase, aSMase|http://www.genome.jp/dbget-bin/www_bget?mmu:20597
ENSMUSG00000025017	mmu:83490|Pik3ap1, 1810044J04Rik, BCAP|http://www.genome.jp/dbget-bin/www_bget?mmu:83490
ENSMUSG00000018983	mmu:242705|E2f2, E2F-2|http://www.genome.jp/dbget-bin/www_bget?mmu:242705
ENSMUSG00000032125	mmu:74144|Robo4, 1200012D01Rik, AI593217|http://www.genome.jp/dbget-bin/www_bget?mmu:74144
ENSMUSG00000032589	mmu:12217|Bsn|http://www.genome.jp/dbget-bin/www_bget?mmu:12217
ENSMUSG00000039699	mmu:74481|Batf2, B-ATF-2|http://www.genome.jp/dbget-bin/www_bget?mmu:74481
ENSMUSG00000071547	mmu:70021|Nt5dc2, 2510015F01Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:70021
ENSMUSG00000041801	mmu:27280|Phlda3, Tih1|http://www.genome.jp/dbget-bin/www_bget?mmu:27280
ENSMUSG00000017146	mmu:12189|Brca1|http://www.genome.jp/dbget-bin/www_bget?mmu:12189
ENSMUSG00000045569	mmu:17200|Mc2r, ACTH-R, ACTHR, MC2-R|http://www.genome.jp/dbget-bin/www_bget?mmu:17200
ENSMUSG00000069917	mmu:110257|Hba-a2|http://www.genome.jp/dbget-bin/www_bget?mmu:110257
ENSMUSG00000023965	mmu:50758|Fbxl17, 6330576B01Rik, AI452053, BB073797, C130023C01Rik, Fbx13, Fbxo13|http://www.genome.jp/dbget-bin/www_bget?mmu:50758
ENSMUSG00000052305	mmu:100503605|Hbb-bs, Beta-s, Hbbt1, Hbbt2|http://www.genome.jp/dbget-bin/www_bget?mmu:100503605
ENSMUSG00000034118	mmu:22021|Tpst1, R75054, Tango13a|http://www.genome.jp/dbget-bin/www_bget?mmu:22021
ENSMUSG00000050350	mmu:110168|Gpr18|http://www.genome.jp/dbget-bin/www_bget?mmu:110168
ENSMUSG00000018569	mmu:53624|Cldn7|http://www.genome.jp/dbget-bin/www_bget?mmu:53624
ENSMUSG00000073599	mmu:68545|Ecscr, 1110006O17Rik, ARIA|http://www.genome.jp/dbget-bin/www_bget?mmu:68545
ENSMUSG00000035458	mmu:21954|Tnni3, Tn1, cTnI|http://www.genome.jp/dbget-bin/www_bget?mmu:21954
ENSMUSG00000054293	mmu:213438|P2ry10b, A630033H20Rik, AI662791, P2ry10|http://www.genome.jp/dbget-bin/www_bget?mmu:213438
ENSMUSG00000032840	mmu:76792|2410131K14Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:76792
ENSMUSG00000030064	mmu:232288|Frmd4b, 6030440G05Rik, C87375, GOBLIN, GRSP1, R74720|http://www.genome.jp/dbget-bin/www_bget?mmu:232288
ENSMUSG00000070462	mmu:80889|Tlnrd1, AW061151, Mesdc1|http://www.genome.jp/dbget-bin/www_bget?mmu:80889
ENSMUSG00000039989	mmu:12418|Cbx4, MPc2, PC2|http://www.genome.jp/dbget-bin/www_bget?mmu:12418
ENSMUSG00000019027	mmu:110084|Dnah1, B230373P09Rik, Dnahc1, E030034C22Rik, MDHC7|http://www.genome.jp/dbget-bin/www_bget?mmu:110084
ENSMUSG00000034612	mmu:58250|Chst11, 1110020P09Rik, C4ST, C4ST-1, C4ST1, C4s|http://www.genome.jp/dbget-bin/www_bget?mmu:58250
ENSMUSG00000098708	None
ENSMUSG00000058486	mmu:101240|Wdr91, 9530020G05Rik, AI987683, AU018665|http://www.genome.jp/dbget-bin/www_bget?mmu:101240
ENSMUSG00000069919	mmu:15122|Hba-a1, Hba, Hba1, Hbat1|http://www.genome.jp/dbget-bin/www_bget?mmu:15122
ENSMUSG00000041378	mmu:12741|Cldn5, AI854493, MBEC1, Tmvcf|http://www.genome.jp/dbget-bin/www_bget?mmu:12741
ENSMUSG00000059479	mmu:232984|B3gnt8, B3galt7, B7galt7, BC025206|http://www.genome.jp/dbget-bin/www_bget?mmu:232984
ENSMUSG00000048707	mmu:97031|Tprn, C430004E15Rik, C87750|http://www.genome.jp/dbget-bin/www_bget?mmu:97031
ENSMUSG00000032109	mmu:270151|Nlrx1, BC034204, NOD9|http://www.genome.jp/dbget-bin/www_bget?mmu:270151
ENSMUSG00000046470	mmu:20672|Sox18, AI385749, Ra, Ragl|http://www.genome.jp/dbget-bin/www_bget?mmu:20672
ENSMUSG00000040040	mmu:21821|Ift88, AW552028, Tg737, Tg737Rpw, TgN737Rpw, Ttc10, flexo, fxo, orpk, polaris|http://www.genome.jp/dbget-bin/www_bget?mmu:21821
ENSMUSG00000056687	mmu:100036768|Gm11696|http://www.genome.jp/dbget-bin/www_bget?mmu:100036768
ENSMUSG00000009876	mmu:84682|Cox4i2, Cox4b, CoxIV-2|http://www.genome.jp/dbget-bin/www_bget?mmu:84682
ENSMUSG00000006574	mmu:20533|Slc4a1, Ae1, CD233, Empb3, l11Jus51|http://www.genome.jp/dbget-bin/www_bget?mmu:20533
ENSMUSG00000023909	mmu:76498|Paqr4, 1500004C10Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:76498
ENSMUSG00000027300	mmu:140629|Ubox5, 1500010O06Rik, C330018L13Rik, Rnf37, UIP5, Ubce7ip5, Ube7ip5|http://www.genome.jp/dbget-bin/www_bget?mmu:140629
ENSMUSG00000029634	mmu:74132|Rnf6, 1200013I08Rik, 5730419H05Rik, AA537053|http://www.genome.jp/dbget-bin/www_bget?mmu:74132
ENSMUSG00000017718	mmu:71562|Afmid, 9030621K19Rik, Ammd, FKF, KFA, Kf, formylase|http://www.genome.jp/dbget-bin/www_bget?mmu:71562
ENSMUSG00000079737	mmu:67118|Bfar, 3010001A07Rik, 3110001I22Rik, AI666707, AW107665, Bar, Rnf47|http://www.genome.jp/dbget-bin/www_bget?mmu:67118
ENSMUSG00000041135	mmu:192656|Ripk2, 2210420D18Rik, CARD3, CARDIAK, CCK, D4Bwg0615e, RICK, RIP2|http://www.genome.jp/dbget-bin/www_bget?mmu:192656
ENSMUSG00000016756	mmu:12763|Cmah|http://www.genome.jp/dbget-bin/www_bget?mmu:12763
ENSMUSG00000026274	mmu:269224|Pask, mKIAA0135|http://www.genome.jp/dbget-bin/www_bget?mmu:269224
ENSMUSG00000044937	mmu:103220|Ttc41, AI449705, AU041509, Gnn|http://www.genome.jp/dbget-bin/www_bget?mmu:103220
ENSMUSG00000031431	mmu:14605|Tsc22d3, DIP, Dsip1, Gilz, TSC-22R, Tilz3|http://www.genome.jp/dbget-bin/www_bget?mmu:14605
ENSMUSG00000062585	mmu:12802|Cnr2, CB-2, CB2, CB2-R|http://www.genome.jp/dbget-bin/www_bget?mmu:12802
ENSMUSG00000087075	mmu:380787|Lbhd2, A230065H16Rik, Gm898, Lbh2|http://www.genome.jp/dbget-bin/www_bget?mmu:380787
ENSMUSG00000009621	mmu:22325|Vav2, 2810040F13Rik, AI847175, Vav-2|http://www.genome.jp/dbget-bin/www_bget?mmu:22325
ENSMUSG00000019102	mmu:11670|Aldh3a1, Ahd-4, Ahd4, Aldh, Aldh3|http://www.genome.jp/dbget-bin/www_bget?mmu:11670
ENSMUSG00000023216	mmu:13828|Epb42, Epb4.2|http://www.genome.jp/dbget-bin/www_bget?mmu:13828
ENSMUSG00000050530	mmu:269233|Fam171a1, 9630050M13Rik, AA409679|http://www.genome.jp/dbget-bin/www_bget?mmu:269233
ENSMUSG00000073940	mmu:101488143|Hbb-bt, Beta-t|http://www.genome.jp/dbget-bin/www_bget?mmu:101488143
ENSMUSG00000030760	mmu:66190|Acer3, 1110057L18Rik, 5430429L08Rik, AV015045, Phca, aPHC|http://www.genome.jp/dbget-bin/www_bget?mmu:66190
ENSMUSG00000070822	mmu:232875|Zscan18, EG232875|http://www.genome.jp/dbget-bin/www_bget?mmu:232875
ENSMUSG00000020832	mmu:57837|Eral1, 2610524P08Rik, 9130407C09Rik, AU019798, Era, M-ERA, MERA-S, MERA-W|http://www.genome.jp/dbget-bin/www_bget?mmu:57837
ENSMUSG00000040006	mmu:215751|Ginm1, AA589616|http://www.genome.jp/dbget-bin/www_bget?mmu:215751
ENSMUSG00000000901	mmu:17385|Mmp11, MMP-11, SL-3, ST3, Stmy3|http://www.genome.jp/dbget-bin/www_bget?mmu:17385
ENSMUSG00000031398	mmu:18846|Plxna3, PlexA3, Plxa3, Plxn3, Plxn4, SEX, mKIAA4078|http://www.genome.jp/dbget-bin/www_bget?mmu:18846
ENSMUSG00000034614	mmu:216505|Pik3ip1, 1500004A08Rik, 5830455E04Rik, Crkd, Hgfl|http://www.genome.jp/dbget-bin/www_bget?mmu:216505
ENSMUSG00000020044	mmu:21859|Timp3, Timp-3|http://www.genome.jp/dbget-bin/www_bget?mmu:21859
ENSMUSG00000038742	mmu:70726|Angptl6, 6330404E11Rik, AGF, ARP3, Arp5|http://www.genome.jp/dbget-bin/www_bget?mmu:70726
ENSMUSG00000056724	mmu:235627|Nbeal2, 1110014F23Rik, BC042396, mKIAA0540|http://www.genome.jp/dbget-bin/www_bget?mmu:235627
ENSMUSG00000032352	mmu:214345|Lrrc1, A430093J20Rik, AU016091, D030059I21, mKIAA4018|http://www.genome.jp/dbget-bin/www_bget?mmu:214345
